date,campaign_name,impressions,clicks,ad_spend,website_visits,add_to_cart,purchases,revenue
2025-01-01,Instagram_H1_2025,23959,2166.0,106556,4232,1696,1604,1167712
2025-01-02,Instagram_H1_2025,39776,1912.0,115094,2007,743,1860,2700720
2025-01-03,Instagram_H1_2025,89153,3216.0,87932,7230,1380,1229,1825065
2025-01-04,Instagram_H1_2025,88657,4210.0,65699,5442,1922,1767,2009079
2025-01-05,Instagram_H1_2025,75490,449920.0,58280,2731,777,1903,3745104
2025-01-06,Instagram_H1_2025,81838,2672.0,37561,2185,1402,1184,2434304
2025-01-07,Instagram_H1_2025,85818,2750.0,47382,3872,2459,363,568458
2025-01-08,Instagram_H1_2025,77313,2525.0,121762,7963,2394,880,1363120
2025-01-09,Instagram_H1_2025,44873,7621.0,70726,3987,537,1782,2197206
2025-01-10,Instagram_H1_2025,29198,6085.0,130081,2939,3467,1915,4042565
2025-01-11,Instagram_H1_2025,39816,3818.0,98022,2318,466,941,1983628
2025-01-12,Instagram_H1_2025,25339,3865.0,137265,1359,3267,1159,2305251
2025-01-13,Instagram_H1_2025,89960,6106.0,56705,6282,571,663,797589
2025-01-14,Instagram_H1_2025,38317,1701.0,30884,3549,2331,1209,2586051
2025-01-15,Instagram_H1_2025,25747,7611.0,133035,1710,1374,974,1149320
2025-01-16,Instagram_H1_2025,45274,5116.0,57301,3927,1853,1841,3183089
2025-01-17,Instagram_H1_2025,42827,5722.0,81775,5872,836,1581,2635527
2025-01-18,Instagram_H1_2025,72197,6594.0,89481,1874,2295,1577,2229878
2025-01-19,Instagram_H1_2025,46413,3891.0,42364,7241,1403,582,1035960
2025-01-20,Instagram_H1_2025,86809,4477.0,55064,7391,2952,1077,770055
2025-01-21,Instagram_H1_2025,88009,5964.0,86232,7655,1764,1091,1668139
2025-01-22,Instagram_H1_2025,60429,2666.0,33173,6217,1853,1607,2408893
2025-01-23,Instagram_H1_2025,36204,6415.0,87134,4954,513,1211,1519805
2025-01-24,Instagram_H1_2025,44978,8408.0,131759,1706,1214,216,199152
2025-01-25,Instagram_H1_2025,36806,6858.0,42818,1474,695,1132,2385124
2025-01-26,Instagram_H1_2025,64937,4273.0,92207,7143,882,331,693114
2025-01-27,Instagram_H1_2025,25653,5777.0,90540,7905,2128,1487,1634213
2025-01-28,Instagram_H1_2025,57051,1610.0,130305,6150,2501,1118,1668056
2025-01-29,Instagram_H1_2025,37817,2571.0,45813,4477,1805,1349,1338208
2025-01-30,Instagram_H1_2025,43476,1973.0,41594,7555,2592,1062,2262060
2025-01-31,Instagram_H1_2025,58894,7595.0,148182,2944,1316,1514,1323236
2025-02-01,Instagram_H1_2025,0,4927.0,140543,3717,640,796,1333300
2025-02-02,Instagram_H1_2025,71065,2939.0,77802,2319,1937,1720,3393560
2025-02-03,Instagram_H1_2025,26632,5956.0,118866,4473,2372,1582,2915626
2025-02-04,Instagram_H1_2025,82469,2700.0,47673,4032,2503,1231,1361486
2025-02-05,Instagram_H1_2025,31452,5281.0,124994,1302,795,660,566940
2025-02-06,Instagram_H1_2025,59364,6928.0,100864,3767,1533,307,379145
2025-02-07,Instagram_H1_2025,71821,7193.0,136372,6851,1134,1670,3251490
2025-02-08,Instagram_H1_2025,27962,7466.0,96255,6861,2091,758,1589526
2025-02-09,Instagram_H1_2025,46323,7661.0,131253,7955,435,247,213161
2025-02-10,Instagram_H1_2025,31475,5832.0,121289,2369,1804,917,1767059
2025-02-11,Instagram_H1_2025,24562,7060.0,47358,4843,1345,475,826025
2025-02-12,Instagram_H1_2025,78969,6186.0,55918,5341,2521,278,595754
2025-02-13,Instagram_H1_2025,57413,8835.0,32830,4028,1978,1846,3372642
2025-02-14,Instagram_H1_2025,34074,8602.0,139877,2667,1083,1673,3598623
2025-02-15,Instagram_H1_2025,40467,4407.0,144860,5575,1873,544,1047200
2025-02-16,Instagram_H1_2025,65991,2486.0,41440,2446,1125,1784,1573488
2025-02-17,Instagram_H1_2025,35521,7195.0,90801,4311,892,453,479727
2025-02-18,Instagram_H1_2025,87662,8365.0,114987,4523,1751,666,645354
2025-02-19,Instagram_H1_2025,70703,5925.0,39881,5573,2967,1760,3180320
2025-02-20,Instagram_H1_2025,59665,7235.0,132090,1328,2015,1457,2514782
2025-02-21,Instagram_H1_2025,47865,1986.0,129606,4537,2648,1955,4097680
2025-02-22,Instagram_H1_2025,55567,5507.0,123061,1811,769,1786,1305566
2025-02-23,Instagram_H1_2025,61510,2942.0,126830,2444,1432,322,515844
2025-02-24,Instagram_H1_2025,36483,4257.0,126746,1988,3231,758,557888
2025-02-25,Instagram_H1_2025,35829,3427.0,120192,7501,2406,1427,2808336
2025-02-26,Instagram_H1_2025,47736,2165.0,116604,7537,1942,1846,3188042
2025-02-27,Instagram_H1_2025,38086,3014.0,90013,5002,2956,629,521441
2025-02-28,Instagram_H1_2025,22516,4028.0,63637,4848,1646,678,1456344
2025-03-01,Instagram_H1_2025,41756,3208.0,66065,6628,3131,1116,1831356
2025-03-02,Instagram_H1_2025,73818,3980.0,67228,3343,682,1807,1971437
2025-03-03,Instagram_H1_2025,89984,8428.0,142606,5355,1128,1337,1545572
2025-03-04,Instagram_H1_2025,30327,8221.0,80271,1663,2288,1146,1116204
2025-03-05,Instagram_H1_2025,44885,2819.0,129153,3147,1265,558,442494
2025-03-06,Instagram_H1_2025,48738,4775.0,36147,6079,2365,1475,2770050
2025-03-07,Instagram_H1_2025,69846,6254.0,60893,1497,977,783,1262979
2025-03-08,Instagram_H1_2025,22837,4622.0,118805,2761,464,266,326914
2025-03-09,Instagram_H1_2025,37573,6324.0,122008,6285,2345,1812,2390028
2025-03-10,Instagram_H1_2025,33990,4066.0,137001,3171,2360,242,399542
2025-03-11,Instagram_H1_2025,27685,1747.0,36493,3118,2613,419,634785
2025-03-12,Instagram_H1_2025,21614,6024.0,104500,5053,992,1117,843335
2025-03-13,Instagram_H1_2025,50351,5228.0,49343,4176,2473,1039,1610450
2025-03-14,Instagram_H1_2025,44539,8677.0,82248,1817,3016,700,1465800
2025-03-15,Instagram_H1_2025,65183,7349.0,47975,6111,850,349,407632
2025-03-16,Instagram_H1_2025,40418,1683.0,145991,2181,1744,1375,1691250
2025-03-17,Instagram_H1_2025,57880,8920.0,44414,7451,801,671,1213839
2025-03-18,Instagram_H1_2025,47282,3553.0,-20000,6268,2597,1857,1396464
2025-03-19,Instagram_H1_2025,85950,8078.0,41215,4443,2633,1622,2666568
2025-03-20,Instagram_H1_2025,87620,6946.0,60295,7678,774,1354,1252450
2025-03-21,Instagram_H1_2025,72814,6725.0,75186,5781,2314,935,1793330
2025-03-22,Instagram_H1_2025,27652,2036.0,121637,5548,2323,1795,2548900
2025-03-23,Instagram_H1_2025,25084,5674.0,135421,2474,1704,1690,1607190
2025-03-24,Instagram_H1_2025,62538,3481.0,132847,4159,3452,306,283356
