date,campaign_name,impressions,clicks,ad_spend,website_visits,add_to_cart,purchases,revenue
2024-07-01,Zepto_H2_2024,42208,2565.0,28583,1392,1444,583,729333
2024-07-02,Zepto_H2_2024,33215,4238.0,102573,1448,1421,977,538327
2024-07-03,Zepto_H2_2024,50401,1157.0,23037,2384,660,962,618566
2024-07-04,Zepto_H2_2024,17478,5060.0,69636,702,1757,332,513604
2024-07-05,Zepto_H2_2024,15466,5575.0,93961,5417,1767,1158,1840062
2024-07-06,Zepto_H2_2024,18031,1422.0,23743,4218,2244,802,822050
2024-07-07,Zepto_H2_2024,49034,4192.0,58005,3335,1479,159,150573
2024-07-08,Zepto_H2_2024,49407,2090.0,81799,4724,997,384,283008
2024-07-09,Zepto_H2_2024,43365,1433.0,73312,2676,2455,723,486579
2024-07-10,Zepto_H2_2024,40596,5712.0,58092,3311,2363,348,350784
2024-07-11,Zepto_H2_2024,51715,1185.0,94675,2449,2177,296,225256
2024-07-12,Zepto_H2_2024,42574,1978.0,31463,2889,2140,372,396180
2024-07-13,Zepto_H2_2024,50858,2198.0,115914,3266,1092,968,956384
2024-07-14,Zepto_H2_2024,30084,6585.0,64964,5566,1633,495,597960
2024-07-15,Zepto_H2_2024,37615,1368.0,111588,1939,1913,877,1313746
2024-07-16,Zepto_H2_2024,20707,6248.0,83494,3134,852,155,244900
2024-07-17,Zepto_H2_2024,65175,4045.0,90205,5680,515,334,573144
2024-07-18,Zepto_H2_2024,62590,3137.0,34860,3964,1575,368,430928
2024-07-19,Zepto_H2_2024,32381,5441.0,38548,1575,1855,1180,1003000
2024-07-20,Zepto_H2_2024,65689,5101.0,32948,2824,1597,668,946556
2024-07-21,Zepto_H2_2024,34179,4878.0,40015,3247,967,162,198774
2024-07-22,Zepto_H2_2024,24284,3901.0,98301,5969,863,592,840048
2024-07-23,Zepto_H2_2024,37592,6929.0,41728,3650,339,942,1213296
2024-07-24,Zepto_H2_2024,66181,2014.0,119721,3115,1242,162,147420
2024-07-25,Zepto_H2_2024,51915,2106.0,106481,713,1334,204,129540
2024-07-26,Zepto_H2_2024,24278,3989.0,83387,2447,718,320,244480
2024-07-27,Zepto_H2_2024,69678,3631.0,58415,2858,1095,906,1023780
2024-07-28,Zepto_H2_2024,32026,6765.0,22172,1124,2166,1094,679374
2024-07-29,Zepto_H2_2024,47386,4551.0,33502,1407,1305,984,875760
2024-07-30,Zepto_H2_2024,65011,800.0,110311,959,2208,1180,1757020
2024-07-31,Zepto_H2_2024,66973,5724.0,114819,1278,1350,123,157563
2024-08-01,Zepto_H2_2024,48686,5503.0,29962,3848,2449,870,1483350
2024-08-02,Zepto_H2_2024,43983,6313.0,26797,3720,742,750,1167750
2024-08-03,Zepto_H2_2024,35496,4161.0,98192,3311,1515,689,1018342
2024-08-04,Zepto_H2_2024,26046,5553.0,110977,1029,2024,1036,1814036
2024-08-05,Zepto_H2_2024,53394,2151.0,25837,4975,1590,1097,1141977
2024-08-06,Zepto_H2_2024,60656,1884.0,105761,4377,255,477,832365
2024-08-07,Zepto_H2_2024,16154,3865.0,90127,5108,1983,1113,667800
2024-08-08,Zepto_H2_2024,67307,6812.0,88591,3109,2376,246,381792
2024-08-09,Zepto_H2_2024,51529,4678.0,69969,4502,343,1111,1757602
2024-08-10,Zepto_H2_2024,68664,4496.0,29836,2828,1658,706,405950
2024-08-11,Zepto_H2_2024,51179,6824.0,83552,1905,618,836,1071752
2024-08-12,Zepto_H2_2024,65181,,87595,2360,2265,86,79034
2024-08-13,Zepto_H2_2024,44565,6566.0,49210,4512,2425,223,128002
2024-08-14,Zepto_H2_2024,57113,1771.0,25918,5581,1489,1069,1011274
2024-08-15,Zepto_H2_2024,59881,4833.0,96919,3541,2354,231,130053
2024-08-16,Zepto_H2_2024,18098,5420.0,108077,4259,1147,914,1398420
2024-08-17,Zepto_H2_2024,46750,3769.0,94133,4498,1481,507,615498
2024-08-18,Zepto_H2_2024,41865,2534.0,77339,3747,2100,427,588406
2024-08-19,Zepto_H2_2024,36412,6260.0,109419,2097,229,159,214014
2024-08-20,Zepto_H2_2024,48090,5594.0,116120,3993,930,243,359397
2024-08-21,Zepto_H2_2024,22805,4791.0,103471,1216,1118,1151,2023458
2024-08-22,Zepto_H2_2024,31336,2642.0,38824,1907,1618,872,569416
2024-08-23,Zepto_H2_2024,46602,1822.0,50498,2420,1649,729,718065
2024-08-24,Zepto_H2_2024,68947,2789.0,109214,2471,405,528,535392
2024-08-25,Zepto_H2_2024,27790,1860.0,74241,5189,2283,375,505125
2024-08-26,Zepto_H2_2024,27678,5268.0,54091,652,906,758,757242
2024-08-27,Zepto_H2_2024,38756,2582.0,35846,3151,1305,464,397648
2024-08-28,Zepto_H2_2024,63461,1793.0,22531,3608,2151,713,602485
2024-08-29,Zepto_H2_2024,64061,4395.0,60945,2564,1797,665,358435
2024-08-30,Zepto_H2_2024,38313,1111.0,30921,3084,1969,655,662205
2024-08-31,Zepto_H2_2024,61479,974.0,112172,1524,1008,815,920135
2024-09-01,Zepto_H2_2024,47714,6579.0,21351,2962,297,1158,1880592
2024-09-02,Zepto_H2_2024,69410,6824.0,59328,1550,1356,175,201950
2024-09-03,Zepto_H2_2024,43191,2268.0,50241,3177,900,129,204078
2024-09-04,Zepto_H2_2024,22458,6721.0,52334,1303,2181,293,331676
2024-09-05,Zepto_H2_2024,34600,2887.0,106248,4614,1817,127,69850
2024-09-06,Zepto_H2_2024,36983,2390.0,61041,869,1325,1015,1028195
2024-09-07,Zepto_H2_2024,53936,704.0,76342,5440,1637,101,109181
2024-09-08,Zepto_H2_2024,18182,845.0,78118,2300,2195,167,121743
2024-09-09,Zepto_H2_2024,48024,2917.0,74119,4754,473,698,405538
2024-09-10,Zepto_H2_2024,21165,1653.0,106869,1313,745,510,276420
2024-09-11,Zepto_H2_2024,31550,2025.0,109766,4486,930,456,719568
2024-09-12,Zepto_H2_2024,30007,1591.0,-15000,867,2395,854,1536346
2024-09-13,Zepto_H2_2024,29935,2973.0,72598,2346,1145,966,710976
2024-09-14,Zepto_H2_2024,17858,5668.0,24609,2800,1546,575,753825
2024-09-15,Zepto_H2_2024,56268,1303.0,29944,3526,281,217,353710
2024-09-16,Zepto_H2_2024,23140,5986.0,75971,3001,2160,1160,1871080
2024-09-17,Zepto_H2_2024,30435,3789.0,44522,3361,1175,678,865128
2024-09-18,Zepto_H2_2024,42274,3841.0,50411,1351,1527,504,573048
2024-09-19,Zepto_H2_2024,63199,1820.0,31155,5766,1808,319,192357
2024-09-20,Zepto_H2_2024,21694,2318.0,51902,1615,1641,916,963632
2024-09-21,Zepto_H2_2024,60000,1786.0,28497,4854,1619,674,889006
2024-09-22,Zepto_H2_2024,27229,5059.0,53141,2937,2480,355,265185
2024-09-23,Zepto_H2_2024,29846,6019.0,25292,5924,2497,529,728962
2024-09-24,Zepto_H2_2024,15778,6423.0,22335,1991,854,956,1575488
2024-09-25,Zepto_H2_2024,67236,3402.0,71936,3094,1137,133,71953
2024-09-26,Zepto_H2_2024,61126,3536.0,38654,3762,2424,1091,1685595
2024-09-27,Zepto_H2_2024,16365,753.0,64389,1225,2255,122,212280
2024-09-28,Zepto_H2_2024,40886,6058.0,27340,3108,2232,822,1362054
2024-09-29,Zepto_H2_2024,17340,820.0,23111,5981,2064,1040,1510080
2024-09-30,Zepto_H2_2024,33695,2529.0,21307,4316,1948,722,555940
2024-10-01,Zepto_H2_2024,50388,901.0,70139,1854,2041,245,221480
2024-10-02,Zepto_H2_2024,21487,1311.0,64907,3151,1931,1081,1278823
2024-10-03,Zepto_H2_2024,37971,1265.0,118281,2732,680,360,507600
2024-10-04,Zepto_H2_2024,68398,2036.0,37122,1353,1792,428,384772
2024-10-05,Zepto_H2_2024,54150,5687.0,90738,2632,1676,187,270776
2024-10-06,Zepto_H2_2024,38306,2282.0,108610,2618,1943,94,86762
2024-10-07,Zepto_H2_2024,35449,2095.0,111187,3279,2499,1150,1944650
2024-10-08,Zepto_H2_2024,40028,6622.0,60247,4057,1047,1009,675021
2024-10-09,Zepto_H2_2024,15484,6502.0,26065,5650,628,213,171252
2024-10-10,Zepto_H2_2024,24647,858.0,32280,1834,1897,600,633000
2024-10-11,Zepto_H2_2024,28094,5215.0,63683,2817,1519,470,758580
2024-10-12,Zepto_H2_2024,51016,4096.0,37325,5408,1342,981,490500
2024-10-13,Zepto_H2_2024,50267,1109.0,96057,5337,427,389,696699
2024-10-14,Zepto_H2_2024,35073,6908.0,44403,4164,2008,799,525742
2024-10-15,Zepto_H2_2024,59051,6553.0,60745,5913,1041,964,1403584
2024-10-16,Zepto_H2_2024,18326,1798.0,52391,3139,1513,710,398310
